date,share_code,number_of_shares,domestic_cp_lt_5_raw,domestic_cp_gte_5_raw,domestic_fd_lt_5_raw,domestic_fd_gte_5_raw,domestic_ib_lt_5_raw,domestic_ib_gte_5_raw,domestic_id_lt_5_raw,domestic_id_gte_5_raw,domestic_is_lt_5_raw,domestic_is_gte_5_raw,domestic_mf_lt_5_raw,domestic_mf_gte_5_raw,domestic_ot_lt_5_raw,domestic_ot_gte_5_raw,domestic_pf_lt_5_raw,domestic_pf_gte_5_raw,domestic_sc_lt_5_raw,domestic_sc_gte_5_raw,foreign_cp_lt_5_raw,foreign_cp_gte_5_raw,foreign_fd_lt_5_raw,foreign_fd_gte_5_raw,foreign_ib_lt_5_raw,foreign_ib_gte_5_raw,foreign_id_lt_5_raw,foreign_id_gte_5_raw,foreign_is_lt_5_raw,foreign_is_gte_5_raw,foreign_mf_lt_5_raw,foreign_mf_gte_5_raw,foreign_ot_lt_5_raw,foreign_ot_gte_5_raw,foreign_pf_lt_5_raw,foreign_pf_gte_5_raw,foreign_sc_lt_5_raw,foreign_sc_gte_5_raw,total_scripless_raw
31-Mar-2026,AADI,7.786.891.760,606.213.997,4.397.166.772,2.271.040,0,41,0,1.262.000.886,454.011.607,123.077.860,0,127.157.720,0,95.275,0,16.269.869,0,5.368.031,0,59.050.033,0,2.493.100,0,263.982.565,0,4.382.276,0,1.150.700,0,320.639.983,0,64.729.103,0,61.545.583,0,15.285.319,0,7.786.891.760
31-Mar-2026,AALI,1.924.688.333,27.845.398,0,3.795.112,0,49.700,0,133.995.080,0,64.796.516,0,7.447.833,0,4.742.927,0,5.387.118,0,49.828,0,14.028.977,0,190.500,0,19.352.778,0,1.613.128,0,979.200,0,42.604.025,0,12.809.941,0,27.953.431,0,23.155.601,0,390.797.093
31-Mar-2026,ABBA,3.935.892.857,233.244.965,2.134.873.740,71,0,,,1.058.400.235,0,,,,,,,,,423,0,1.300.000,0,,,41.020.085,0,7.062.513,0,,,,,,,,,1.754.300,0,3.477.656.332
31-Mar-2026,ABDA,620.806.680,44.448,0,440.734,0,98,0,481.057,0,,,,,20,0,,,7.575,0,21.730.234,0,,,28.003.600,0,2.700,0,0,538.555.304,,,,,,,30.503.300,0,619.769.070
31-Mar-2026,ABMM,2.753.165.000,19.959.300,1.474.573.133,,,,,263.404.200,155.382.400,1.847.600,0,420.000,0,,,86.000,0,1.372.918,0,102.272.312,702.349.867,,,7.586.549,0,649.300,0,,,10.204.167,0,5.693.336,0,3.778.209,0,3.585.709,0,2.753.165.000
31-Mar-2026,ACES,17.120.389.700,633.798.800,10.272.189.700,17.684.714,0,6.200.000,0,2.497.405.591,0,409.082.200,0,440.126.053,0,1.092.800,0,97.722.800,0,62.372.595,0,136.776.463,0,,,681.258.602,0,15.981.900,0,,,847.917.736,0,760.585.274,0,178.673.999,0,61.420.473,0,17.120.289.700
31-Mar-2026,ACRO,3.469.345.537,29.700,0,,,,,319.807.886,0,,,,,,,,,102,0,,,,,13.146.100,0,416.183.954,2.720.072.495,,,,,,,,,105.300,0,3.469.345.537
31-Mar-2026,ACST,17.675.160.000,106.350.367,16.115.027.968,,,,,1.426.936.853,0,,,,,80,0,,,1.091,0,140,0,,,8.976.344,0,16.059.862,0,,,,,,,,,1.807.295,0,17.675.160.000
31-Mar-2026,ADCP,22.222.222.200,450.680.900,0,900,0,,,1.591.665.600,0,,,,,147.078.400,0,1.200.000,0,1.558.700,0,,,,,22.117.600,0,7.706.100,0,,,,,,,,,214.000,0,2.222.222.200
31-Mar-2026,ADES,589.896.800,3.141.600,0,,,350,0,41.849.177,0,,,,,,,,,471,0,114.997,538.896.713,,,4.132.664,0,151.000,0,,,111.500,0,316.000,0,60.300,0,433.600,0,589.208.372
