date,share_code,issuer_name,investor_name,investor_type,local_foreign,nationality,domicile,holdings_scripless_raw,holdings_scrip_raw,total_holding_shares_raw,percentage_raw
31-Mar-2026,AADI,ADARO ANDALAN INDONESIA Tbk,ADARO STRATEGIC INVESTMENTS,CP,L,,INDONESIA,3.200.142.830,0,3.200.142.830,"41,10"
31-Mar-2026,AADI,ADARO ANDALAN INDONESIA Tbk,ALAMTRI RESOURCES INDONESIA TBK PT,CP,L,,INDONESIA,1.197.023.942,0,1.197.023.942,"15,37"
31-Mar-2026,AADI,ADARO ANDALAN INDONESIA Tbk,GARIBALDI THOHIR,ID,L,INDONESIAN,INDONESIA,454.011.607,0,454.011.607,"5,83"
31-Mar-2026,AADI,ADARO ANDALAN INDONESIA Tbk,SARATOGA INVESTAMA SEDAYA TBK PT,CP,L,,INDONESIA,340.897.429,0,340.897.429,"4,38"
31-Mar-2026,AADI,ADARO ANDALAN INDONESIA Tbk,EDWIN SOERYADJAYA,ID,L,INDONESIAN,INDONESIA,273.955.636,0,273.955.636,"3,52"
31-Mar-2026,AADI,ADARO ANDALAN INDONESIA Tbk,IR. T. PERMADI RACHMAT,ID,L,INDONESIAN,INDONESIA,254.992.918,0,254.992.918,"3,27"
31-Mar-2026,AADI,ADARO ANDALAN INDONESIA Tbk,SANDIAGA SALAHUDDIN UNO,ID,L,INDONESIAN,INDONESIA,159.027.175,0,159.027.175,"2,04"
31-Mar-2026,AADI,ADARO ANDALAN INDONESIA Tbk,PERSADA CAPITAL INVESTAMA,CP,L,,INDONESIA,220.609.170,0,220.609.170,"2,83"
31-Mar-2026,AADI,ADARO ANDALAN INDONESIA Tbk,PT TRINUGRAHA THOHIR,CP,L,,INDONESIA,89.926.520,0,89.926.520,"1,15"
31-Mar-2026,AALI,ASTRA AGRO LESTARI Tbk,PT ASTRA INTERNATIONAL TBK,CP,L,,INDONESIA,0,1.533.682.440,1.533.682.440,"79,68"
31-Mar-2026,AALI,ASTRA AGRO LESTARI Tbk,DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA,IS,L,,INDONESIA,41.979.300,0,41.979.300,"2,18"
31-Mar-2026,ABBA,MAHAKA MEDIA Tbk,PT BEYOND MEDIA,CP,L,,INDONESIA,1.592.831.618,0,1.592.831.618,"40,47"
31-Mar-2026,ABBA,MAHAKA MEDIA Tbk,SOLIC KREASI BARU PT,CP,L,,INDONESIA,542.042.122,0,542.042.122,"13,77"
